Loan_per_100k,STNAME
12080273.2,Alabama
19031517.6,Alaska
4649067.09,Arizona
24617.0029,Arkansas
16711809.9,California
17978641.3,Colorado
17448010.9,Connecticut
306157246.0,Delaware
6378313.52,Florida
155203.081,Georgia
32750118.4,Hawaii
13186176.0,Idaho
16717501.9,Illinois
14209022.6,Indiana
14474775.0,Iowa
17515318.5,Kansas
15524216.9,Kentucky
28067663.9,Louisiana
72723343.1,Maine
3481276.65,Maryland
21831088.3,Massachusetts
10934222.0,Michigan
16204753.2,Minnesota
156502.82,Mississippi
5227620.02,Missouri
16202838.8,Montana
59126650.2,Nebraska
9834044.78,Nevada
17716134.3,New Hampshire
18256792.0,New Jersey
10270856.7,New Mexico
2028219.16,New York
35601328.7,North Carolina
232655254.0,North Dakota
4599506.66,Ohio
16338564.6,Oklahoma
73128382.4,Oregon
16234414.2,Pennsylvania
16098932.5,Rhode Island
3516768.3,South Carolina
18392545.3,South Dakota
12637802.6,Tennessee
16030709.9,Texas
21185086.4,Utah
172369505.0,Vermont
70630.4633,Virginia
11721124.5,Washington
40657387.3,West Virginia
1731763.28,Wisconsin
11667949.9,Wyoming
